"id";"NB";"COUT";"ANNEE"
15;1;521,43;2017
277;1;3000,19;2016
643;1;26,33;2018
668;1;462,36;2017
730;1;640,88;2018
1816;1;1547,02;2018
1852;1;1212,62;2016
2061;1;690,14;2018
2270;1;219,89;2018
2322;1;628,72;2017
2431;1;6217,2;2016
2445;1;280,37;2016
2468;1;171,57;2017
2590;1;24,52;2017
2679;1;1910,68;2018
2917;1;287,42;2017
2993;1;770,73;2016
3283;1;4583,13;2016
3298;1;615,37;2016
3300;1;24,21;2016
3346;1;285,3;2017
3582;1;1138,87;2018
3588;1;360,55;2016
3594;1;2072,01;2016
3637;1;393,73;2017
3639;1;115,65;2018
3668;1;2551,71;2018
4051;2;3084,56;2018
4409;1;1106,2;2016
4426;1;294,27;2018
4503;1;825,1;2018
4713;1;1385,59;2017
5035;1;1441,92;2018
5195;1;1707,89;2018
5256;1;24,52;2017
5266;1;56,53;2017
5317;1;342,88;2018
5388;1;24,52;2017
5412;1;360,75;2016
5523;1;160,4;2016
5548;2;472,81;2018
5566;1;251,19;2016
5659;1;263,75;2018
6485;1;1179,49;2018
6592;1;73,64;2016
6689;1;4562,76;2016
7388;1;2521,34;2017
7542;1;2135,6;2017
7582;1;100,55;2017
7605;1;338,51;2017
7626;1;504,09;2018
8426;1;692,59;2017
8479;1;730,98;2016
8496;1;280,37;2016
8609;1;24,52;2017
8885;1;373,29;2017
9025;1;240,53;2016
9026;1;2638,15;2016
9183;1;8891,37;2018
9418;1;121,81;2018
10091;1;700,72;2016
10910;1;695,16;2017
10937;1;141,72;2018
11525;1;375,34;2018
11875;1;1065,79;2017
12036;1;10042,18;2017
12062;1;1408,47;2017
12080;1;45,65;2018
12224;1;736,04;2017
12264;1;544,99;2017
12554;1;470,8;2017
12664;1;1204,11;2017
12746;1;563,57;2018
12926;1;436,51;2016
13347;1;1041,75;2018
13413;1;407,27;2018
13450;1;2103,16;2018
13559;1;380,08;2017
13913;1;849,42;2017
14047;1;234,34;2018
14064;1;1246,21;2018
14556;1;1576,81;2016
14755;1;24,52;2017
14841;2;14261,37;2018
14867;1;160,28;2018
14888;1;267,81;2018
15021;1;400,88;2017
15436;2;292,43;2016
15501;1;2316,63;2017
15991;1;2500,59;2018
16182;1;91,96;2017
16281;1;552,85;2017
16570;1;197,01;2017
16613;1;24,21;2016
16820;1;300,54;2016
16957;1;165,56;2016
17154;1;2342,58;2018
17296;1;256,65;2018
17328;1;435,58;2017
17398;1;225,57;2016
17621;1;339,3;2016
17830;1;35,31;2016
17916;1;1497,92;2018
18060;1;24,52;2017
18783;1;277,42;2016
18926;1;592,36;2017
19252;1;1033,48;2017
19461;1;553,84;2016
19636;1;56,53;2017
19755;1;4969,84;2018
19941;1;533,66;2016
20185;1;405,17;2017
20384;1;634,02;2018
20692;1;554,84;2016
20784;1;2143,72;2016
20844;2;580,06;2016
20968;1;811,45;2017
21638;1;1705,68;2018
21808;1;660,38;2017
21830;1;256,76;2017
21979;1;228,25;2018
21997;1;24,35;2018
22005;1;44,11;2018
22024;1;508,1;2016
22038;1;1063,26;2018
22158;1;908,51;2018
22302;1;266,33;2016
22448;1;105,82;2016
22605;1;5476,78;2016
22658;1;1742,09;2016
22895;1;1989,6;2017
23076;1;1532,73;2017
23284;1;171,99;2017
23338;1;2611,68;2016
23410;1;840,73;2018
23446;1;3193,05;2018
23849;1;1506,37;2016
24050;1;23,5;2017
24245;1;216,89;2016
24585;1;486,25;2016
24767;1;6089,01;2018
24833;1;782,92;2017
24894;1;1521,66;2018
25211;1;24,52;2017
25231;1;4090,26;2017
25245;2;678,93;2016
25254;1;890,71;2017
25265;1;253,61;2018
25378;1;509,45;2016
26159;2;2833,23;2016
26380;1;1758,05;2016
26430;1;1280,99;2018
26512;1;3775,01;2017
26748;1;630,5;2016
27088;1;335,09;2018
27259;1;633,57;2016
27267;1;286,44;2017
27317;1;172,45;2018
27336;1;235,35;2017
28019;1;213,83;2016
28131;1;235,35;2017
28252;1;935,29;2017
28792;2;1800,71;2018
29364;1;24,52;2017
29536;1;691;2016
29722;1;1908,56;2018
29883;1;24,52;2017
30161;1;378,36;2017
30216;1;1867,41;2018
30303;1;580,39;2017
30568;1;133,16;2017
30920;1;3109,35;2017
30945;1;784,54;2018
31235;1;1025,52;2018
31545;1;234,83;2017
31569;1;4234,33;2017
32015;1;5435,46;2016
32533;1;57,21;2018
32668;1;546,68;2017
32710;1;534,91;2017
32817;1;523,59;2018
33535;1;1122,61;2017
33579;1;255,45;2017
33621;1;305,75;2018
34034;1;2453,11;2018
34296;1;274,72;2016
34303;1;636,51;2017
34575;1;735,3;2017
34728;1;105,32;2016
34793;1;9940,9;2016
34902;1;630,42;2017
35185;1;1804,05;2017
35203;1;813,34;2018
35832;1;130,74;2016
35968;1;43,4;2017
36422;1;2554,13;2017
36654;1;295,12;2018
37041;1;692,59;2017
37418;1;86,85;2017
38000;1;177,8;2017
38094;1;7683,05;2017
38481;1;2322,4;2017
38743;1;468,99;2017
38879;1;423,56;2016
39056;1;271,37;2016
39168;1;1363,11;2017
39293;1;2727;2017
39823;1;5572,07;2017
39949;1;24,21;2016
40222;1;1321,43;2016
40285;1;37,53;2018
40545;1;2475,32;2018
40617;1;577,61;2017
40655;1;118,69;2018
